N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"21-032";"SINCROVER AMARILLO";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-033";"SINCROVER NARANJA";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-034";"SINCROVER CELESTE";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-035";"GIGOT MY LITTLE PET - SHAMPOO PARA MASCOTAS";"LABORATORIOS WARMIC SAIYC";"Propio";
"21-036";"ADAPTIL CALM-DIFUSOR Y RECARGA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-037";"OCLADERM";"BROUWER SA";"Propio";
"21-038";"DOXIN";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-039";"DAXO TOTAL DESINFECTANTE AMBIENTAL";"MOREYRA DARIO GUSTAVO";"Propio";
"21-040";"LEÓN PERFUME";"LEON PHARMA S. R. L.";"Propio";
"21-041";"ERYSENG PARVO/LEPTO";"HIPRA ARGENTINA S.A.";"Propio";
"21-042";"MOKSHA - SHAMPOO LIMPIEZA PROFUNDA";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"21-043";"CLOXIDINA SPRAY";"LEON PHARMA S. R. L.";"Propio";
"21-044";"CLOXIDINA SELLADOR DE PEZONES";"LEON PHARMA S. R. L.";"Propio";
"21-046";"MOKSHA OTIPET";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"21-047";"HISTAX";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-048";"DENTA-FRESH";"DELTA VET GROUP SRL";"Propio";
"21-049";"CLOXIDINA JABON LÍQUIDO";"LEON PHARMA S. R. L.";"Propio";
"21-050";"DELLA PRO B";"DELAVAL S.A";"Propio";
"21-051";"TRIPLENET";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"21-052";"DETOR";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"21-053";"CICLORAC PIEL Y HERIDAS";"CARVAL ARGENTINA S.R.L";"Propio";
"21-054";"ID SCREEN BLV COMPETITION";"IMMUNOLOGY SRL";"Propio";
"21-055";"NEUMOXINA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-057";"FELIWAY CLASSIC-DIFUSOR Y RECARGA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"21-058";"BEAUTIPET COLÁGENO";"LABCECIL S.R.L.";"Propio";
"21-059";"SCHIRMER LABYES";"LABYES S A";"Propio";
"21-060";"ELMER SHAMPOO ACONDICIONADOR";"AGREED LABORATORIOS S A";"Propio";
"21-061";"PROVITAR S PREMIX";"VETANCO S. A.";"Propio";
"21-062";"FLEXAPET";"JOHN MARTIN SRL";"Propio";
"21-063";"SANIPET";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"21-064";"LEÓN SHAMPOO BELLEZA";"LEON PHARMA S. R. L.";"Propio";
"21-065";"CLOXIDINA SHAMPOO";"LEON PHARMA S. R. L.";"Propio";
"21-066";"ARTICULAR MSM VETEC";"VE TEC S A";"Propio";
"21-067";"FLUIDO BIO MANCHESTER";"FEIT Y OLIVARI S A";"Propio";
"21-068";"NATURAL PETS CREMA DE ENJUAGUE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"21-069";"DERMOSEDAN MRSA NANO AG CHAMPU";"CASTELLANO GUSTAVO HECTOR";"Propio";
"21-070";"ENZYM COMPLEX";"ATON SRL";"Propio";
"21-071";"NEUMOGEN GOLD";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"21-072";"AMPROLBASE";"CEVASA S. A.";"Propio";
"21-074";"EQUICARE BRILLO";"EC LABS SA";"Propio";
"21-075";"DERMAPET ALL FIT TEXTURIZER";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"21-076";"DOVERTEC DORADO";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-077";"LACTALOE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"21-078";"PANTOVIER";"LABORATORIOS J' ANVIER SRL";"Propio";
"21-079";"PET´S CLASS - SHAMPOO TONALIZADOR PARA PELAJE NEGRO";"COSMIVET SRL";"Propio";
"21-080";"POWER PIG";"KW SRL";"Propio";
"21-081";"FLUORESCEINA LABYES";"LABYES S A";"Propio";
"21-082";"HI-BAC";"CEVASA S. A.";"Propio";
"21-083";"ODONTOLIMP NOVO";"LABORATORIOS J' ANVIER SRL";"Propio";
"21-084";"SHAMPOO BUBLES REPARADOR CON KERATINA BY ALAN COGNARD";"RUMINAL  S.A.";"Propio";
"21-085";"SULFATO DE COBRE EN GEL EQUI CARE";"EC LABS SA";"Propio";
"21-086";"SPECTOMIX";"CEVASA S. A.";"Propio";
"21-087";"NO ACA";"AGREED LABORATORIOS S A";"Propio";
"21-088";"UVDAY";"HOLLIDAY SCOTT S A";"Propio";
"21-089";"RANITIDINA JOHN MARTIN GOTAS";"JOHN MARTIN SRL";"Propio";
"21-090";"DI HEPTARINE S LIQUIDO";"VETANCO S. A.";"Propio";
"21-091";"PROMOTOR L 47.0";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"21-092";"DERMAPET SEPTICARE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"21-093";"TIOCTICO ANTITÓXICO HEPATOPROTECTOR";"ALLIGNANI HERMANOS S R L";"Propio";
"21-094";"COXIRIL 0,5%";"AMALGAMAR SRL";"Propio";
"21-095";"INGEZIM  BVD DAS";"IMMUNOLOGY SRL";"Propio";
"21-096";"ANDROSTAR PLUS";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-097";"M III";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-098";"EQUIPLUS";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-099";"MOKSHA - SIENA";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"21-100";"MOKSHA - INDIGO";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"21-101";"ENSOLVET DRY PIGS";"ENSOL S A";"Propio";
"21-102";"ELECTROLITOS PLUS RUMINAL";"RUMINAL  S.A.";"Propio";
"21-103";"ANDROMED";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-104";"REPROJELLY";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-105";"NEOMICIN 30% RK VET";"ROMIKIN  SAU";"Propio";
"21-106";"COXIFARM";"CEVASA S. A.";"Propio";
"21-107";"EPRINOVER PREMIUM 3.15%";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"21-108";"CLAREX";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-109";"SHAMPOO NEUTRO EN PASTA EQUI CARE";"EC LABS SA";"Propio";
"21-110";"ONCOVET VITALITY";"CHEMOVET S.A.";"Propio";
"21-111";"CIPRONIL SOLUCION";"CEVASA S. A.";"Propio";
"21-112";"EQUIPLUS LIQUIDO";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"21-113";"BIOZONO";"INTERBIO PHARMA S.R.L.";"Propio";
"21-114";"OXIBAC 50";"CEVASA S. A.";"Propio";
"21-115";"BALTEX P";"BROUWER SA";"Propio";
"21-116";"COXIFARM MN";"CEVASA S. A.";"Propio";
"21-118";"ANTIGENO INACTIVADO DE CLOSTRIDIUM SPP. BIOGENESIS BAGO";"BIOGENESIS BAGO S.A.";"Propio";
"21-119";"VIT POWER";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"21-121";"BI-SEPT NPF";"GEA FARM TECHNOLOGIES ARGENTINA S R L";"Propio";
"21-122";"SALMONELLA 9R BIAFAR";"BIAFAR SANIDAD ANIMAL SRL";"Propio";
"21-124";"BIOJAJA A";"LITORAL BIOLOGICOS S.R.L.";"Propio";
